TIME,CH2,Model,TBS2074B
3.10E+00,-0.0016,,
3.10E+00,0.0096,,
3.11E+00,-0.0188,,
3.12E+00,0.0164,,
3.13E+00,-0.002,,
3.14E+00,0.0128,,
3.14E+00,-0.0176,,
3.15E+00,0.0068,,
3.16E+00,0.0012,,
3.17E+00,0.02,,
3.18E+00,0.0076,,
3.18E+00,0.0148,,
3.19E+00,0.0192,,
3.20E+00,0.0208,,
3.21E+00,-0.0172,,
3.22E+00,0.002,,
3.22E+00,0.0024,,
3.23E+00,-0.0176,,
3.24E+00,0.0028,,
3.25E+00,0.0116,,
3.26E+00,-0.0164,,
3.26E+00,0.0036,,
3.27E+00,-0.0048,,
3.28E+00,-0.0004,,
3.29E+00,0,,
3.30E+00,0.0004,,
3.30E+00,0.0008,,
3.31E+00,-0.0012,,
3.32E+00,-0.0008,,
3.33E+00,-0.0012,,
3.34E+00,-0.0016,,
3.34E+00,-0.0012,,
3.35E+00,0.0008,,
3.36E+00,-0.0008,,
3.37E+00,0.0008,,
3.38E+00,-0.0008,,
3.38E+00,-0.0024,,
3.39E+00,-0.0008,,
3.40E+00,-0.0012,,
3.41E+00,-0.0008,,
3.42E+00,0,,
3.42E+00,-0.0004,,
3.43E+00,0,,
3.44E+00,-0.0008,,
3.45E+00,-0.0008,,
3.46E+00,0,,
3.46E+00,-0.0024,,
3.47E+00,0.004,,
3.48E+00,-0.0068,,
3.49E+00,-0.0068,,
3.50E+00,0.004,,
3.50E+00,0.0128,,
3.51E+00,-0.002,,
3.52E+00,-0.0128,,
3.53E+00,0.0004,,
3.54E+00,0.0084,,
3.54E+00,-0.0156,,
3.55E+00,0.0016,,
3.56E+00,0.0172,,
3.57E+00,0.0072,,
3.58E+00,0.0012,,
3.58E+00,-0.0004,,
3.59E+00,-0.0052,,
3.60E+00,-0.0052,,
3.61E+00,-0.0076,,
3.62E+00,-0.0056,,
3.62E+00,-0.004,,
3.63E+00,-0.0012,,
3.64E+00,0.0008,,
3.65E+00,0.0012,,
3.66E+00,0.002,,
3.66E+00,0.0012,,
3.67E+00,-0.0012,,
3.68E+00,-0.0012,,
3.69E+00,-0.0008,,
3.70E+00,0,,
3.70E+00,0.0008,,
3.71E+00,0,,
3.72E+00,-0.0004,,
3.73E+00,-0.0004,,
3.74E+00,0,,
3.74E+00,-0.0008,,
3.75E+00,0,,
3.76E+00,-0.0004,,
3.77E+00,0.0004,,
3.78E+00,0,,
3.78E+00,-0.0008,,
3.79E+00,0,,
3.80E+00,-0.0004,,
3.81E+00,-0.0008,,
3.82E+00,-0.0008,,
3.82E+00,0.0004,,
3.83E+00,-0.0004,,
3.84E+00,0,,
3.85E+00,0,,
3.86E+00,-0.0008,,
3.86E+00,0.0004,,
3.87E+00,-0.0004,,
3.88E+00,-0.0004,,
3.89E+00,-0.0004,,
3.90E+00,0.0004,,
3.90E+00,0.0096,,
3.91E+00,-0.004,,
3.92E+00,0.0092,,
3.93E+00,-0.0052,,
3.94E+00,0.0044,,
3.94E+00,0.0012,,
3.95E+00,0.0048,,
3.96E+00,-0.0012,,
3.97E+00,0.0084,,
